Stage,edt_time,pt_time,Team_1,Team_2,Match,Location,FULL_DATETIME_TMP,day_of_week,after_4pm_pt,game_tree,highlight
Group K,"Wednesday, June 17, at 10:00 PM",7:00 PM,Uzbekistan,Colombia,24,"Estadio Azteca, Mexico City",2026-06-17 22:00:00,Wednesday,True,Wednesday | Match 24 | Uzbekistan vs Colombia | 7:00 PM PT | Wednesday,🔥 AFTER 4PM PT
Group A,"Thursday, June 18, at 12:00 PM",9:00 AM,Czechia,South Africa,25,"Mercedes-Benz Stadium, Atlanta",2026-06-18 12:00:00,Thursday,False,Thursday | Match 25 | Czechia vs South Africa | 9:00 AM PT | Thursday,
Group B,"Thursday, June 18, at 3:00 PM",12:00 PM,Switzerland,Bosnia,26,"SoFi Stadium, Inglewood",2026-06-18 15:00:00,Thursday,False,Thursday | Match 26 | Switzerland vs Bosnia | 12:00 PM PT | Thursday,
Group B,"Thursday, June 18, at 6:00 PM",3:00 PM,Canada,Qatar,27,"BC Place, Vancouver",2026-06-18 18:00:00,Thursday,False,Thursday | Match 27 | Canada vs Qatar | 3:00 PM PT | Thursday,
Group A,"Thursday, June 18, at 9:00 PM",6:00 PM,Mexico,South Korea,28,"Estadio Akron, Zapopan",2026-06-18 21:00:00,Thursday,True,Thursday | Match 28 | Mexico vs South Korea | 6:00 PM PT | Thursday,🔥 AFTER 4PM PT
Group D,"Friday, June 19, at 3:00 PM",12:00 PM,United States,Australia,32,"Lumen Field, Seattle",2026-06-19 15:00:00,Friday,False,Friday | Match 32 | United States vs Australia | 12:00 PM PT | Friday,
Group C,"Friday, June 19, at 6:00 PM",3:00 PM,Scotland,Morocco,30,"Gillette Stadium, Foxborough",2026-06-19 18:00:00,Friday,False,Friday | Match 30 | Scotland vs Morocco | 3:00 PM PT | Friday,
Group C,"Friday, June 19, at 9:00 PM",6:00 PM,Brazil,Haiti,29,"Lincoln Financial Field, Philadelphia",2026-06-19 21:00:00,Friday,True,Friday | Match 29 | Brazil vs Haiti | 6:00 PM PT | Friday,🔥 AFTER 4PM PT
Group D,"Friday, June 19, at 11:59 PM",8:59 PM,Turkey,Paraguay,31,"Levi's Stadium, Santa Clara",2026-06-19 23:59:00,Friday,True,Friday | Match 31 | Turkey vs Paraguay | 8:59 PM PT | Friday,🔥 AFTER 4PM PT
Group F,"Saturday, June 20, at 1:00 PM",10:00 AM,Netherlands,Sweden,35,"NRG Stadium, Houston",2026-06-20 13:00:00,Saturday,False,Saturday | Match 35 | Netherlands vs Sweden | 10:00 AM PT | Saturday,
Group E,"Saturday, June 20, at 4:00 PM",1:00 PM,Germany,Ivory Coast,33,"BMO Field, Toronto",2026-06-20 16:00:00,Saturday,False,Saturday | Match 33 | Germany vs Ivory Coast | 1:00 PM PT | Saturday,
Group E,"Saturday, June 20, at 8:00 PM",5:00 PM,Ecuador,Curacao,34,"Arrowhead Stadium, Kansas City",2026-06-20 20:00:00,Saturday,True,Saturday | Match 34 | Ecuador vs Curacao | 5:00 PM PT | Saturday,🔥 AFTER 4PM PT
Group F,"Saturday, June 20, at 11:59 PM",8:59 PM,Tunisia,Japan,36,"Estadio BBVA, Guadalupe",2026-06-20 23:59:00,Saturday,True,Saturday | Match 36 | Tunisia vs Japan | 8:59 PM PT | Saturday,🔥 AFTER 4PM PT
Group H,"Sunday, June 21, at 12:00 PM",9:00 AM,Spain,Saudi Arabia,38,"Mercedes-Benz Stadium, Atlanta",2026-06-21 12:00:00,Sunday,False,Sunday | Match 38 | Spain vs Saudi Arabia | 9:00 AM PT | Sunday,
Group G,"Sunday, June 21, at 3:00 PM",12:00 PM,Belgium,Iran,39,"Sofi Stadium, Inglewood",2026-06-21 15:00:00,Sunday,False,Sunday | Match 39 | Belgium vs Iran | 12:00 PM PT | Sunday,
Group H,"Sunday, June 21, at 6:00 PM",3:00 PM,Uruguay,Cape Verde,37,"Hard Rock Stadium, Miami Gardens",2026-06-21 18:00:00,Sunday,False,Sunday | Match 37 | Uruguay vs Cape Verde | 3:00 PM PT | Sunday,
Group G,"Sunday, June 21, at 9:00 PM",6:00 PM,New Zealand,Egypt,40,"BC Place, Vancouver",2026-06-21 21:00:00,Sunday,True,Sunday | Match 40 | New Zealand vs Egypt | 6:00 PM PT | Sunday,🔥 AFTER 4PM PT
Group J,"Monday, June 22, at 1:00 PM",10:00 AM,Argentina,Austria,43,"AT&T Stadium, Arlington",2026-06-22 13:00:00,Monday,False,Monday | Match 43 | Argentina vs Austria | 10:00 AM PT | Monday,
Group I,"Monday, June 22, at 5:00 PM",2:00 PM,France,Iraq,42,"Lincoln Financial Field, Philadelphia",2026-06-22 17:00:00,Monday,False,Monday | Match 42 | France vs Iraq | 2:00 PM PT | Monday,
Group I,"Monday, June 22, at 8:00 PM",5:00 PM,Norway,Senegal,41,"MetLife Stadium, East Rutherford",2026-06-22 20:00:00,Monday,True,Monday | Match 41 | Norway vs Senegal | 5:00 PM PT | Monday,🔥 AFTER 4PM PT
Group J,"Monday, June 22, at 11:00 PM",8:00 PM,Jordan,Algeria,44,"Levi's Stadium, Santa Clara",2026-06-22 23:00:00,Monday,True,Monday | Match 44 | Jordan vs Algeria | 8:00 PM PT | Monday,🔥 AFTER 4PM PT
Group K,"Tuesday, June 23, at 1:00 PM",10:00 AM,Portugal,Uzbekistan,47,"NRG Stadium, Houston",2026-06-23 13:00:00,Tuesday,False,Tuesday | Match 47 | Portugal vs Uzbekistan | 10:00 AM PT | Tuesday,
Group L,"Tuesday, June 23, at 4:00 PM",1:00 PM,England,Ghana,45,"Gillette Stadium, Foxborough",2026-06-23 16:00:00,Tuesday,False,Tuesday | Match 45 | England vs Ghana | 1:00 PM PT | Tuesday,
Group L,"Tuesday, June 23, at 7:00 PM",4:00 PM,Panama,Croatia,46,"BMO Field, Toronto",2026-06-23 19:00:00,Tuesday,True,Tuesday | Match 46 | Panama vs Croatia | 4:00 PM PT | Tuesday,🔥 AFTER 4PM PT
Group K,"Tuesday, June 23, at 10:00 PM",7:00 PM,Colombia,DR Congo,48,"Estadio Akron, Zapopan",2026-06-23 22:00:00,Tuesday,True,Tuesday | Match 48 | Colombia vs DR Congo | 7:00 PM PT | Tuesday,🔥 AFTER 4PM PT
Group B,"Wednesday, June 24, at 3:00 PM",12:00 PM,Switzerland,Canada,51,"BC Place, Vancouver",2026-06-24 15:00:00,Wednesday,False,Wednesday | Match 51 | Switzerland vs Canada | 12:00 PM PT | Wednesday,
Group B,"Wednesday, June 24, at 3:00 PM",12:00 PM,Bosnia,Qatar,52,"Lumen Field, Seattle",2026-06-24 15:00:00,Wednesday,False,Wednesday | Match 52 | Bosnia vs Qatar | 12:00 PM PT | Wednesday,
Group C,"Wednesday, June 24, at 6:00 PM",3:00 PM,Scotland,Brazil,49,"Hard Rock Stadium, Miami Gardens",2026-06-24 18:00:00,Wednesday,False,Wednesday | Match 49 | Scotland vs Brazil | 3:00 PM PT | Wednesday,
Group C,"Wednesday, June 24, at 6:00 PM",3:00 PM,Morocco,Haiti,50,"Mercedes-Benz Stadium, Atlanta",2026-06-24 18:00:00,Wednesday,False,Wednesday | Match 50 | Morocco vs Haiti | 3:00 PM PT | Wednesday,
